TDEP,Cons,CAL,GR,LLD,LLS,RHOB,NPHI,PEF,DT,PHIF  (%),PHIf
2780.625,1,0.904,80.6329,3797.3147,248.6478,2.636,0.0475,3.1075,52.2869,0.0308,0.0003
2780.75,1,0.904,83.8965,3200.0408,248.3563,2.634,0.051,3.107,52.4833,0.035,0.0004
2780.875,1,0.912,86.9452,2571.8364,242.2462,2.582,0.058,2.748,52.9831,0.081,0.0008
2781,1,0.904,88.8954,1960.7468,237.2448,2.591,0.055,2.697,53.3267,0.0689,0.0007
2781.125,1,0.904,86.3997,1689.5127,224.9675,2.573,0.055,2.533,53.4529,0.0846,0.0008
2781.25,1,0.974,88.7507,1655.0942,231.2242,2.584,0.057,2.896,53.6962,0.0777,0.0008
2781.375,1,0.978,88.9789,1601.6635,232.5406,2.595,0.056,2.965,53.5413,0.067,0.0007
2781.5,1,0.982,90.4315,1548.2325,233.8573,2.606,0.055,3.034,53.3864,0.0572,0.0006
2781.625,1,1.009,89.0879,1157.1722,228.5026,2.613,0.051,3.169,52.8318,0.0476,0.0005
2781.75,1,1.028,86.3244,1339.2216,229.8899,2.614,0.067,3.241,52.7729,0.0668,0.0007
2781.875,1,1.036,90.0507,1567.0542,235.6266,2.631,0.084,3.316,52.7502,0.077,0.0008
2782,1,1.02,97.3394,1820.1355,235.8519,2.719,0.081,3.849,52.9511,0.0194,0.0002
2782.125,1,0.997,105.147,1552.182,229.3116,2.7145,0.085,3.6285,53.0986,0.024,0.0002
2782.25,1,0.974,105.564,1284.2299,222.7801,2.71,0.089,3.408,53.2461,0.0292,0.0003
2782.375,1,0.958,101.704,976.1835,211.4967,2.663,0.088,3.21,52.9616,0.0568,0.0006
2782.5,1,0.927,101.526,1105.8721,211.0323,2.578,0.075,2.981,52.5318,0.1142,0.0011
2782.625,1,0.896,96.744,1132.6495,220.9122,2.585,0.068,3.032,52.7219,0.0944,0.0009
2782.75,1,0.8885,91.9292,1076.407,217.8379,2.5955,0.0605,3.0485,52.6056,0.073,0.0007
2782.875,1,0.881,85.6705,1020.1647,214.7648,2.606,0.053,3.065,52.4894,0.0547,0.0005
2783,1,0.873,85.3005,1075.0569,209.6568,2.613,0.039,3.158,51.8918,0.0352,0.0004
2783.125,1,0.858,79.901,1324.7784,216.2901,2.647,0.034,3.092,51.3669,0.0163,0.0002
2783.25,1,0.858,76.2127,1337.7504,219.5579,2.631,0.029,3.088,51.2516,0.019,0.0002
2783.375,1,0.835,75.2417,1394.3381,219.3583,2.646,0.019,2.915,51.7278,0.0091,0.0001
2783.5,1,0.8465,77.683,1410.7671,220.4623,2.648,0.027,2.9595,51.5902,0.0122,0.0001
2783.625,1,0.858,76.796,1427.196,221.5672,2.65,0.035,3.004,51.4527,0.0159,0.0002
2783.75,1,0.846,76.2564,1701.9771,221.4134,2.639,0.028,2.979,51.2104,0.0155,0.0002
2783.875,1,0.835,76.7714,2198.8713,229.1871,2.634,0.023,3.067,51.1007,0.0144,0.0001
2784,1,0.835,73.8077,2472.8652,240.8372,2.652,0.034,3.146,51.6852,0.0146,0.0001
2784.125,1,0.835,69.471,2944.7114,249.7841,2.653,0.0325,3.0815,51.8835,0.0135,0.0001
2784.25,1,0.835,66.4351,3416.5579,258.7286,2.654,0.031,3.017,52.0818,0.0124,0.0001
2784.375,1,0.835,70.9614,3434.158,260.1615,2.658,0.028,3.016,51.9494,0.0099,0.0001
2784.5,1,0.819,70.5204,4359.8926,271.9117,2.673,0.03,2.991,52.8253,0.0072,0.0001
2784.625,1,0.846,72.175,7966.5313,280.621,2.672,0.044,3.089,52.7238,0.0137,0.0001
2784.75,1,0.866,71.5837,573.2062,208.7761,2.639,0.069,3.01,53.0324,0.0508,0.0005
2784.875,1,0.8385,75.7436,481.6384,200.9826,2.6455,0.076,3.064,53.1353,0.0546,0.0005
2785,1,0.811,77.5916,390.0713,193.2021,2.652,0.083,3.118,53.2383,0.0586,0.0006
2785.125,1,0.765,80.1229,446.8487,200.6976,2.614,0.064,3.016,53.0926,0.0628,0.0006
2785.25,1,0.742,77.9844,564.0771,218.2515,2.624,0.07,2.976,52.9195,0.063,0.0006
2785.375,1,0.726,79.3061,840.3348,242.5377,2.636,0.055,3.003,52.8728,0.0377,0.0004
2785.5,1,0.722,78.425,1050.717,244.6731,2.6175,0.0545,3.054,52.6359,0.0486,0.0005
2785.625,1,0.718,80.3931,1261.0991,246.8077,2.599,0.054,3.105,52.399,0.0612,0.0006
2785.75,1,0.695,79.725,1433.3527,252.4709,2.625,0.064,3.17,52.3905,0.0546,0.0005
2785.875,1,0.684,79.057,1728.4502,272.6533,2.613,0.058,3.09,52.1414,0.0559,0.0006
2786,1,0.672,80.2617,3146.5288,290.9248,2.609,0.049,3.07,52.0961,0.048,0.0005
2786.125,1,0.664,84.47,3414.5464,302.8196,2.652,0.037,3.041,51.9291,0.0164,0.0002
2786.25,1,0.6485,89.3225,3321.0271,299.5935,2.653,0.0425,3.0135,51.8323,0.0194,0.0002
